Número do Laudo,UNIDADE,TIPO DE AMOSTRA,TIPO DE COLETA,PONTO DE AMOSTRAGEM,MANANCIAL,LOCALIDADE,COD. PONTO,ENDERECO,SETOR,INTERESSADO,PARAMETRO,Metodologia,FRASCO,LIMITE INFERIOR,VALOR RESULTADO,VALOR LITERAL,LIMITE SUPERIOR,DATA DE COLETA,DATA DE ENTRADA,FORA DO PADRAO,,
N?  2225650-A/2225650/UN-BCL,UN-BCL,Água Bruta Classe 2,Água Bruta,Captação,Lagoa de Paraipaba,PARAIPABA,199406,Lagoa de Paraipaba,UNBCL-PARAIPABA,UNBCL,Coliformes Totais,"9223, SMEWW 23rd Ed., 2017",86,0,"2419,6",">2,4E3 NMP/100 mL",1000000,10/09/2019,10/09/2019,0,,
N?  2225660-A/2225660/UN-BCL,UN-BCL,Água Bruta Classe 2,Água Bruta,Captação,Lagoa do Pecém,PECÉM,199421,Lagoa do Pecém,UNBCL-PECEM,UNBCL,Coliformes Totais,"9223, SMEWW 23rd Ed., 2017",88,0,"2419,6",">2,4E3 NMP/100 mL",1000000,10/09/2019,10/09/2019,0,,
N?  2222095-A/2222095/UN-BCL,UN-BCL,Água Bruta Classe 2,Água Bruta,Captação,Açude Pereira de Miranda,PENTECOSTE,199422,Açude Pereira de Miranda,UNBCL-PENTECOSTE,UNBCL,Coliformes Totais,"9223, SMEWW 23rd Ed., 2017",90,0,"2419,6",">2,4E3 NMP/100 mL",1000000,02/09/2019,02/09/2019,0,,
N?  2225670-A/2225670/UN-BCL,UN-BCL,Água Bruta,Água Bruta,Saída do poço,PT - 01,POÇO DOCE,199423,Poço Tubular - PT 01,UNBCL-POÇO DOCE,UNBCL,Coliformes Totais,"9223, SMEWW 23rd Ed., 2017",92,0,1,<1 NMP/100 mL,10000000,10/09/2019,10/09/2019,0,,
N?  2225677-A/2225677/UN-BCL,UN-BCL,Água Bruta,Água Bruta,Saída do poço,PT - 02,POÇO DOCE,265522,Poço Tubular - PT 02,UNBCL-POÇO DOCE,UN-BCL,Coliformes Totais,"9223, SMEWW 23rd Ed., 2017",94,0,1,<1 NMP/100 mL,10000000,10/09/2019,10/09/2019,0,,
N?  2225686-A/2225686/UN-BCL,UN-BCL,Água Bruta Classe 2,Água Bruta,Captação,Lagoa do Cauípe,PRIMAVERA,318811,Lagoa do Cauípe,UNBCL-PRIMAVERA,UNBCL - Primavera,Coliformes Totais,"9223, SMEWW 23rd Ed., 2017",96,0,"1299,7","1,3E3 NMP/100 mL",1000000,10/09/2019,10/09/2019,0,,
N?  2225706-A/2225706/UN-BCL,UN-BCL,Água Bruta Classe 2,Água Bruta,Captação,Açude São Joaquim,SAO JOAQUIM,199425,Açude São Joaquim,UNBCL-SÃO JOAQUIM,UNBCL,Coliformes Totais,"9223, SMEWW 23rd Ed., 2017",98,0,"2419,6",">2,4E3 NMP/100 mL",1000000,10/09/2019,10/09/2019,0,,
N?  2225831-A/2225831/UN-BCL,UN-BCL,Água Bruta Classe 2,Água Bruta,Captação,Açude Caxitoré,SAO LUIS DO CURU,314308,Açude Caxitoré,UNBCL-SÃO LUIS DO CURU,UNBCL,Coliformes Totais,"9223, SMEWW 23rd Ed., 2017",100,0,"980,4","9,8E2 NMP/100 mL",1000000,10/09/2019,10/09/2019,0,,
N?  2222118-A/2222118/UN-BCL,UN-BCL,Água Bruta Classe 2,Água Bruta,Captação,Açude,SEBASTIÃO DE ABREU,199427,Açude Sebastião de Abreu,UNBCL-SEBASTIAO DE ABREU,UNBCL,Coliformes Totais,"9223, SMEWW 23rd Ed., 2017",102,0,"241,96",">2,4E2 NMP/100 mL",1000000,02/09/2019,02/09/2019,0,,
N?  2225848-A/2225848/UN-BCL,UN-BCL,Água Bruta,Água Bruta,Saída da estação de tratamento,PT - 11,SIUPE,323682,Poço Tubular - PT 11,UNBCL-SIUPE,UNBCL,Coliformes Totais,"9223, SMEWW 23rd Ed., 2017",104,0,"8,5","8,50 NMP/100 mL",10000000,10/09/2019,10/09/2019,0,,
N?  2225850-A/2225850/UN-BCL,UN-BCL,Água Bruta,Água Bruta,Saída do poço,PT - 12,SIUPE,199428,Poço Tubular - PT 12,UNBCL-SIUPE,UNBCL,Coliformes Totais,"9223, SMEWW 23rd Ed., 2017",106,0,"13,4","1,3E1 NMP/100 mL",10000000,10/09/2019,10/09/2019,0,,
N?  2225440-A/2225440/UN-BCL,UN-BCL,Água Bruta Classe 2,Água Bruta,Captação,Açude Boqueirão,TEJUÇUOCA,199429,Açude Boqueirão,UNBCL-Tejuçuoca,UNBCL,Coliformes Totais,"9223, SMEWW 23rd Ed., 2017",108,0,"2419,6",">2,4E3 NMP/100 mL",1000000,11/09/2019,11/09/2019,0,,
N?  2224426-A/2224426/UN-BCL,UN-BCL,Água Bruta,Água Bruta,Saída do poço,PT - 01,TORROES,199430,Poço Tubular - PT 01,UNBCL-TORROES,UNBCL,Coliformes Totais,"9223, SMEWW 23rd Ed., 2017",110,0,"218,7","2,2E2 NMP/100 mL",10000000,09/09/2019,09/09/2019,0,,
N?  2225855-A/2225855/UN-BCL,UN-BCL,Água Bruta Classe 2,Água Bruta,Captação,Lagoa do Criancó,TRAIRI,199431,Lagoa do Criancó,UNBCL-TRAIRI,,Coliformes Totais,"9223, SMEWW 23rd Ed., 2017",112,0,"770,1","7,7E2 NMP/100 mL",1000000,10/09/2019,10/09/2019,0,,
N?  2225866-A/2225866/UN-BCL,UN-BCL,Água Bruta Classe 2,Água Bruta,Captação,Açude Caxitoré,UMIRIM,199432,Açude Caxitoré,UNBCL-UMIRIM,UNBCL,Coliformes Totais,"9223, SMEWW 23rd Ed., 2017",114,0,"2419,6",">2,4E3 NMP/100 mL",1000000,10/09/2019,10/09/2019,0,,
N?  2225873-A/2225873/UN-BCL,UN-BCL,Água Bruta Classe 2,Água Bruta,Captação,Açude Mundaú,URUBURETAMA,199433,Açude Mundaú,UNBCL-URUBURETAMA,UNBCL,Coliformes Totais,"9223, SMEWW 23rd Ed., 2017",116,0,"2419,6",">2,4E3 NMP/100 mL",1000000,10/09/2019,10/09/2019,0,,
N?  2222006-A/2222006/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Rio Curu,APUIARÉS,33953,ESTAÇÃO DE TRATAMENTO DE ÁGUA,,UNBCL-APUIARES,,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",201,0,0,ausência em 100 mL,0,02/09/2019,02/09/2019,0,
N?  2222372-A/2222372/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Rio Curu,APUIARÉS,33953,ESTAÇÃO DE TRATAMENTO DE ÁGUA,,UNBCL-APUIARES,,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",202,0,0,ausência em 100 mL,0,04/09/2019,04/09/2019,0,
N?  2224123-A/2224123/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Rio Curu,APUIARÉS,33953,ESTAÇÃO DE TRATAMENTO DE ÁGUA,,UNBCL-APUIARES,,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",203,0,0,ausência em 100 mL,0,09/09/2019,09/09/2019,0,
N?  2225324-A/2225324/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Rio Curu,APUIARÉS,33953,ESTAÇÃO DE TRATAMENTO DE ÁGUA,,UNBCL-APUIARES,,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",204,0,0,ausência em 100 mL,0,11/09/2019,11/09/2019,0,
N?  2226362-A/2226362/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Rio Curu,APUIARÉS,33953,ESTAÇÃO DE TRATAMENTO DE ÁGUA,,UNBCL-APUIARES,,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",205,0,0,ausência em 100 mL,0,16/09/2019,16/09/2019,0,
N?  2226363-A/2226363/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Rio Curu,APUIARÉS,33953,ESTAÇÃO DE TRATAMENTO DE ÁGUA,,UNBCL-APUIARES,,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",206,0,0,ausência em 100 mL,0,18/09/2019,18/09/2019,0,
N?  2228549-A/2228549/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Rio Curu,APUIARÉS,33953,ESTAÇÃO DE TRATAMENTO DE ÁGUA,,UNBCL-APUIARES,,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",207,0,0,ausência em 100 mL,0,23/09/2019,23/09/2019,0,
N?  2228553-A/2228553/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Rio Curu,APUIARÉS,33953,ESTAÇÃO DE TRATAMENTO DE ÁGUA,,UNBCL-APUIARES,,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",208,0,0,ausência em 100 mL,0,25/09/2019,25/09/2019,0,
N?  2229895-A/2229895/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Rio Curu,APUIARÉS,33953,ESTAÇÃO DE TRATAMENTO DE ÁGUA,,UNBCL-APUIARES,,Coliformes Totais,"9223, SMEWW 23rd Ed., 2017",209,0,0,ausência em 100 mL,0,30/09/2019,30/09/2019,0,
N?  2222010-A/2222010/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Rio Cruxati,BETÂNIA,119764,Estação de Tratamento de Água,BETÂNIA,UNBCL,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",210,0,0,ausência em 100 mL,0,02/09/2019,02/09/2019,0,,
N?  2222379-A/2222379/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Rio Cruxati,BETÂNIA,119764,Estação de Tratamento de Água,BETÂNIA,UNBCL,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",211,0,0,ausência em 100 mL,0,04/09/2019,04/09/2019,0,,
N?  2224126-A/2224126/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Rio Cruxati,BETÂNIA,119764,Estação de Tratamento de Água,BETÂNIA,UNBCL,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",212,0,0,ausência em 100 mL,0,09/09/2019,09/09/2019,0,,
N?  2225326-A/2225326/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Rio Cruxati,BETÂNIA,119764,Estação de Tratamento de Água,BETÂNIA,UNBCL,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",213,0,0,ausência em 100 mL,0,11/09/2019,11/09/2019,0,,
N?  2226366-A/2226366/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Rio Cruxati,BETÂNIA,119764,Estação de Tratamento de Água,BETÂNIA,UNBCL,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",214,0,0,ausência em 100 mL,0,16/09/2019,16/09/2019,0,,
N?  2226367-A/2226367/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Rio Cruxati,BETÂNIA,119764,Estação de Tratamento de Água,BETÂNIA,UNBCL,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",215,0,0,ausência em 100 mL,0,18/09/2019,18/09/2019,0,,
N?  2228563-A/2228563/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Rio Cruxati,BETÂNIA,119764,Estação de Tratamento de Água,BETÂNIA,UNBCL,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",216,0,0,ausência em 100 mL,0,23/09/2019,23/09/2019,0,,
N?  2228566-A/2228566/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Rio Cruxati,BETÂNIA,119764,Estação de Tratamento de Água,BETÂNIA,UNBCL,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",217,0,0,ausência em 100 mL,0,25/09/2019,25/09/2019,0,,
N?  2229899-A/2229899/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Rio Cruxati,BETÂNIA,119764,Estação de Tratamento de Água,BETÂNIA,UNBCL,Coliformes Totais,"9223, SMEWW 23rd Ed., 2017",218,0,0,ausência em 100 mL,0,30/09/2019,30/09/2019,0,,
N?  2222393-A/2222393/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Açude Missí,BROTAS,68063,ESTAÇÃO DE TRATAMENTO DE ÁGUA,UNBCL-BROTAS,UN-BCL,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",220,0,0,ausência em 100 mL,0,04/09/2019,04/09/2019,0,,
N?  2224130-A/2224130/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Açude Missí,BROTAS,68063,ESTAÇÃO DE TRATAMENTO DE ÁGUA,UNBCL-BROTAS,UN-BCL,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",221,0,0,ausência em 100 mL,0,09/09/2019,09/09/2019,0,,
N?  2225329-A/2225329/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Açude Missí,BROTAS,68063,ESTAÇÃO DE TRATAMENTO DE ÁGUA,UNBCL-BROTAS,UN-BCL,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",222,0,0,ausência em 100 mL,0,11/09/2019,11/09/2019,0,,
N?  2226370-A/2226370/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Açude Missí,BROTAS,68063,ESTAÇÃO DE TRATAMENTO DE ÁGUA,UNBCL-BROTAS,UN-BCL,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",223,0,0,ausência em 100 mL,0,16/09/2019,16/09/2019,0,,
N?  2226371-A/2226371/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Açude Missí,BROTAS,68063,ESTAÇÃO DE TRATAMENTO DE ÁGUA,UNBCL-BROTAS,UN-BCL,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",224,0,0,ausência em 100 mL,0,18/09/2019,18/09/2019,0,,
N?  2228571-A/2228571/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Açude Missí,BROTAS,68063,ESTAÇÃO DE TRATAMENTO DE ÁGUA,UNBCL-BROTAS,UN-BCL,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",225,0,0,ausência em 100 mL,0,23/09/2019,23/09/2019,0,,
N?  2228572-A/2228572/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Açude Missí,BROTAS,68063,ESTAÇÃO DE TRATAMENTO DE ÁGUA,UNBCL-BROTAS,UN-BCL,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",226,0,0,ausência em 100 mL,0,25/09/2019,25/09/2019,0,,
N?  2229908-A/2229908/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Açude Missí,BROTAS,68063,ESTAÇÃO DE TRATAMENTO DE ÁGUA,UNBCL-BROTAS,UN-BCL,Coliformes Totais,"9223, SMEWW 23rd Ed., 2017",227,0,0,ausência em 100 mL,0,30/09/2019,30/09/2019,0,,
N?  2222135-A/2222135/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Açude Sítios Novos,CATUANA,35506,ESTAÇÃO DE TRATAMENTO DE ÁGUA,,UNBCL-CATUANA,,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",228,0,0,ausência em 100 mL,0,03/09/2019,03/09/2019,0,
N?  2222548-A/2222548/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Açude Sítios Novos,CATUANA,35506,ESTAÇÃO DE TRATAMENTO DE ÁGUA,,UNBCL-CATUANA,,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",229,0,0,ausência em 100 mL,0,05/09/2019,05/09/2019,0,
N?  2224466-A/2224466/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Açude Sítios Novos,CATUANA,35506,ESTAÇÃO DE TRATAMENTO DE ÁGUA,,UNBCL-CATUANA,,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",230,0,0,ausência em 100 mL,0,10/09/2019,10/09/2019,0,
N?  2225498-A/2225498/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Açude Sítios Novos,CATUANA,35506,ESTAÇÃO DE TRATAMENTO DE ÁGUA,,UNBCL-CATUANA,,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",231,0,0,ausência em 100 mL,0,12/09/2019,12/09/2019,0,
N?  2226976-A/2226976/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Açude Sítios Novos,CATUANA,35506,ESTAÇÃO DE TRATAMENTO DE ÁGUA,,UNBCL-CATUANA,,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",232,0,0,ausência em 100 mL,0,17/09/2019,17/09/2019,0,
N?  2226978-A/2226978/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Açude Sítios Novos,CATUANA,35506,ESTAÇÃO DE TRATAMENTO DE ÁGUA,,UNBCL-CATUANA,,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",233,0,0,ausência em 100 mL,0,19/09/2019,19/09/2019,0,
N?  2229559-A/2229559/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Açude Sítios Novos,CATUANA,35506,ESTAÇÃO DE TRATAMENTO DE ÁGUA,,UNBCL-CATUANA,,Coliformes Totais,"9223, SMEWW 23rd Ed., 2017",234,0,0,ausência em 100 mL,0,26/09/2019,26/09/2019,0,
N?  2222139-A/2222139/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Rio Mundaú,CEMOABA,35786,ESTAÇÃO DE TRATAMENTO DE ÁGUA,,UNBCL-CEMOABA,,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",236,0,0,ausência em 100 mL,0,03/09/2019,03/09/2019,0,
N?  2224525-A/2224525/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Rio Mundaú,CEMOABA,35786,ESTAÇÃO DE TRATAMENTO DE ÁGUA,,UNBCL-CEMOABA,,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",238,0,0,ausência em 100 mL,0,10/09/2019,10/09/2019,0,
N?  2225506-A/2225506/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Rio Mundaú,CEMOABA,35786,ESTAÇÃO DE TRATAMENTO DE ÁGUA,,UNBCL-CEMOABA,,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",239,0,0,ausência em 100 mL,0,12/09/2019,12/09/2019,0,
N?  2226984-A/2226984/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Rio Mundaú,CEMOABA,35786,ESTAÇÃO DE TRATAMENTO DE ÁGUA,,UNBCL-CEMOABA,,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",240,0,0,ausência em 100 mL,0,17/09/2019,17/09/2019,0,
N?  2226987-A/2226987/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Rio Mundaú,CEMOABA,35786,ESTAÇÃO DE TRATAMENTO DE ÁGUA,,UNBCL-CEMOABA,,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",241,0,0,ausência em 100 mL,0,19/09/2019,19/09/2019,0,
N?  2229564-A/2229564/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Rio Mundaú,CEMOABA,35786,ESTAÇÃO DE TRATAMENTO DE ÁGUA,,UNBCL-CEMOABA,,Coliformes Totais,"9223, SMEWW 23rd Ed., 2017",242,0,0,ausência em 100 mL,0,26/09/2019,26/09/2019,0,
N?  2229566-A/2229566/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Rio Mundaú,CEMOABA,35786,ESTAÇÃO DE TRATAMENTO DE ÁGUA,,UNBCL-CEMOABA,,Coliformes Totais,"9223, SMEWW 23rd Ed., 2017",243,0,0,ausência em 100 mL,0,27/09/2019,27/09/2019,0,
N?  2222143-A/2222143/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Açude Caxitoré,CROATA,328243,SAÍDA DO TRATAMENTO (POÇO - LAGUNA),UNBCL - Croatá,,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",244,0,1,presença em 100 mL,0,03/09/2019,03/09/2019,1,,
N?  2222550-A/2222550/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Açude Caxitoré,CROATA,328243,SAÍDA DO TRATAMENTO (POÇO - LAGUNA),UNBCL - Croatá,,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",245,0,0,ausência em 100 mL,0,05/09/2019,05/09/2019,0,,
N?  2225531-A/2225531/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Açude Caxitoré,CROATA,328243,SAÍDA DO TRATAMENTO (POÇO - LAGUNA),UNBCL - Croatá,,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",246,0,0,ausência em 100 mL,0,10/09/2019,10/09/2019,0,,
N?  2225887-A/2225887/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Açude Caxitoré,CROATA,328243,SAÍDA DO TRATAMENTO (POÇO - LAGUNA),UNBCL - Croatá,,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",247,0,0,ausência em 100 mL,0,12/09/2019,12/09/2019,0,,
N?  2227035-A/2227035/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Açude Caxitoré,CROATA,328243,SAÍDA DO TRATAMENTO (POÇO - LAGUNA),UNBCL - Croatá,,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",248,0,1,presença em 100 mL,0,17/09/2019,17/09/2019,1,,
N?  2227036-A/2227036/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Açude Caxitoré,CROATA,328243,SAÍDA DO TRATAMENTO (POÇO - LAGUNA),UNBCL - Croatá,,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",249,0,0,ausência em 100 mL,0,19/09/2019,19/09/2019,0,,
N?  2229593-A/2229593/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Açude Caxitoré,CROATA,328243,SAÍDA DO TRATAMENTO (POÇO - LAGUNA),UNBCL - Croatá,,Coliformes Totais,"9223, SMEWW 23rd Ed., 2017",250,0,0,ausência em 100 mL,0,26/09/2019,26/09/2019,0,,
N?  2229596-A/2229596/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Açude Caxitoré,CROATA,328243,SAÍDA DO TRATAMENTO (POÇO - LAGUNA),UNBCL - Croatá,,Coliformes Totais,"9223, SMEWW 23rd Ed., 2017",251,0,0,ausência em 100 mL,0,27/09/2019,27/09/2019,0,,
N?  2222147-A/2222147/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Rio Mundaú,DESERTO,34141,ETA DESERTO,UNBCL-DESERTO,,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",252,0,0,ausência em 100 mL,0,03/09/2019,03/09/2019,0,,
N?  2222554-A/2222554/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Rio Mundaú,DESERTO,34141,ETA DESERTO,UNBCL-DESERTO,,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",253,0,0,ausência em 100 mL,0,05/09/2019,05/09/2019,0,,
N?  2225554-A/2225554/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Rio Mundaú,DESERTO,34141,ETA DESERTO,UNBCL-DESERTO,,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",254,0,0,ausência em 100 mL,0,10/09/2019,10/09/2019,0,,
N?  2225557-A/2225557/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Rio Mundaú,DESERTO,34141,ETA DESERTO,UNBCL-DESERTO,,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",255,0,0,ausência em 100 mL,0,12/09/2019,12/09/2019,0,,
N?  2227045-A/2227045/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Rio Mundaú,DESERTO,34141,ETA DESERTO,UNBCL-DESERTO,,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",256,0,0,ausência em 100 mL,0,17/09/2019,17/09/2019,0,,
N?  2227046-A/2227046/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Rio Mundaú,DESERTO,34141,ETA DESERTO,UNBCL-DESERTO,,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",257,0,0,ausência em 100 mL,0,19/09/2019,19/09/2019,0,,
N?  2229604-A/2229604/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Rio Mundaú,DESERTO,34141,ETA DESERTO,UNBCL-DESERTO,,Coliformes Totais,"9223, SMEWW 23rd Ed., 2017",258,0,0,ausência em 100 mL,0,26/09/2019,26/09/2019,0,,
N?  2229605-A/2229605/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Rio Mundaú,DESERTO,34141,ETA DESERTO,UNBCL-DESERTO,,Coliformes Totais,"9223, SMEWW 23rd Ed., 2017",259,0,1,presença em 100 mL,0,27/09/2019,27/09/2019,1,,
N?  2222043-A/2222043/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Açude General Sampaio,GENERAL SAMPAIO,187528,Estação de Tratamento de Água,UNBCL-GENERAL SAMPAIO,UNBCL,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",260,0,0,ausência em 100 mL,0,02/09/2019,02/09/2019,0,,
N?  2222406-A/2222406/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Açude General Sampaio,GENERAL SAMPAIO,187528,Estação de Tratamento de Água,UNBCL-GENERAL SAMPAIO,UNBCL,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",261,0,0,ausência em 100 mL,0,04/09/2019,04/09/2019,0,,
N?  2224133-A/2224133/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Açude General Sampaio,GENERAL SAMPAIO,187528,Estação de Tratamento de Água,UNBCL-GENERAL SAMPAIO,UNBCL,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",262,0,0,ausência em 100 mL,0,09/09/2019,09/09/2019,0,,
N?  2225333-A/2225333/UN-BCL,UN-BCL,Água Tratada Saída Sistema,IQAP,Saída da estação de tratamento,Açude General Sampaio,GENERAL SAMPAIO,187528,Estação de Tratamento de Água,UNBCL-GENERAL SAMPAIO,UNBCL,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",263,0,0,ausência em 100 mL,0,11/09/2019,11/09/2019,0,,
