Número do Laudo,UNIDADE,TIPO DE AMOSTRA,TIPO DE COLETA,PONTO DE AMOSTRAGEM,MANANCIAL,LOCALIDADE,COD. PONTO,ENDERECO,SETOR,INTERESSADO,PARAMETRO,Metodologia,FRASCO,LIMITE INFERIOR,VALOR RESULTADO,VALOR LITERAL,LIMITE SUPERIOR,DATA DE COLETA,DATA DE ENTRADA,FORA DO PADRAO,
N?  2173787-A/2173787/UN-BSI,UN-BSI,Água Tratada Saída Sistema,Trihalometanos (THM),Saída da ETA,Açude Ibiapina,MUCAMBO,274946,ETA Mucambo,UNBSI - MUCAMBO,UN-BSI - MUCAMBO,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",5364,0,2,2,10000000,21/03/2019,27/03/2019,0,
N?  2173791-A/2173791/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,Trihalometanos (THM),Torneira de entrada,Açude Ibiapina,MUCAMBO,319406,Rua Antonio Alves,UNBSI - MUCAMBO,UNBSI - MUCAMBO,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",5365,"0,2","1,5","1,5",5,21/03/2019,27/03/2019,0,
N?  2173795-A/2173795/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,Trihalometanos (THM),Torneira de entrada,Açude Paulo Sarasate,OTAVILÂNDIA,300544,Rua Sebastião Otaviano,UNBSI - OTAVILÂNDIA,UN-BSI - OTAVILÂNDIA,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",5366,"0,2",1,1,5,21/03/2019,27/03/2019,0,
N?  2173799-A/2173799/UN-BSI,UN-BSI,Água Tratada Saída Sistema,Trihalometanos (THM),Saída da ETA,"Poços, Açude Taquara",PACUJÁ,274949,ETA Pacujá,UNBSI - PACUJÁ,UN-BSI - PACUJÁ,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",5367,0,"2,5","2,5",10000000,21/03/2019,27/03/2019,0,
N?  2173802-A/2173802/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,Trihalometanos (THM),Torneira de entrada,"Poços, Açude Taquara",PACUJÁ,323008,Rua Deputado Fernando Melo,UNBSI - PACUJÁ,UNBSI - PACUJÁ,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",5368,"0,2",1,1,5,21/03/2019,27/03/2019,0,
N?  2173804-A/2173804/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,Trihalometanos (THM),Torneira de entrada,Açude Paulo Sarasate,PIRES FERREIRA,319408,Rua Frei Julian,UNBSI - PIRES FERREIRA,UNBSI - PIRES FERREIRA,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",5369,"0,2","0,8","0,8",5,21/03/2019,27/03/2019,0,
N?  2173685-A/2173685/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,Trihalometanos (THM),Torneira de entrada,Açude Paulo Sarasate,RERIUTABA,326807,Praça Coronel R. Rodrigues,UN-BSI-RERIUTABA,UNBSI - RERIUTABA,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",5371,"0,2",3,3,5,21/03/2019,27/03/2019,0,
N?  2173733-A/2173733/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,Trihalometanos (THM),Torneira de entrada,Açude Jaburu,SAO BENEDITO,319139,Rua José Malta de Oliveira,UNBSI - SAO BENEDITO,UNBSI - SÃO BENEDITO,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",5372,"0,2","1,5","1,5",5,22/03/2019,27/03/2019,0,
N?  2173744-A/2173744/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,Trihalometanos (THM),Torneira de entrada,Açude Jaburu,UBAJARA,326811,Rua Eufrásio Rodrigues,UNBSI - UBAJARA,UNBSI - UBAJARA,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",5375,"0,2",2,2,5,22/03/2019,27/03/2019,0,
N?  2173659-A/2173659/UN-BSI,UN-BSI,Água Tratada Saída Sistema,Trihalometanos (THM),Saída da ETA,Açude Paulo Sarasate,VARJOTA,251262,ETA Varjota,UNBSI - VARJOTA,UN-BSI - VARJOTA,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",5376,0,4,4,10000000,21/03/2019,27/03/2019,0,
N?  2173664-A/2173664/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,Trihalometanos (THM),Torneira de entrada,Açude Paulo Sarasate,VARJOTA,320914,Av. Presidente Castelo Branco,UNBSI - VARJOTA,UNBSI - VARJOTA,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",5377,"0,2","3,5","3,5",5,21/03/2019,27/03/2019,0,
N?  2173748-A/2173748/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,Trihalometanos (THM),Torneira de entrada,Açude Jaburu,VICOSA DO CEARA,324220,Rua Vicente de Paula,UNBSI - VICOSA DO CEARA,UNBSI - VIÇOSA DO CEARÁ,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",5378,"0,2","0,8","0,8",5,22/03/2019,27/03/2019,0,
N?  2173754-A/2173754/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,Trihalometanos (THM),Torneira de entrada,Açude Jaburu,CARNAUBAL,326812,Av. Paulo Sarasate,UNBSI - CARNAUBAL,UNBSI - CARNAUBAL,Cloro residual livre OT,"1015, SMEWW 13th Ed., 1971",5401,"0,2",1,1,5,22/03/2019,27/03/2019,0,
N?  2154698-A/2154698/UN-BSI,UN-BSI,Água de bebedouro,Análise Bacteriológica,Saida do Bebedouro,Açude Jaburu,TIANGUA,319706,Loja de Atendimento - Cagece,UNBSI - TIANGUÁ,UNBSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",1,0,0,ausência em 100 mL,0,24/01/2019,24/01/2019,0,
N?  2164119-A/2164119/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira de saída da ETA,Poços,CARNAUBAL,322242,Rua Major Felinto - RAP  PT01 + PT02,UNBSI - CARNAUBAL,UNBSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",1,0,0,ausência em 100 mL,0,04/02/2019,04/02/2019,0,
N?  2160253-A/2160253/UN-BSI,UN-BSI,Água Bruta,Análise Bacteriológica,Saída do poço,PT - 02,PIRES FERREIRA,326322,Travessa João Inácio PT 02,UNBSI - PIRES FERREIRA,UNBSI- Pires Ferreira,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",1,0,"2419,6","2,4E3 NMP/100 mL",10000000,13/02/2019,13/02/2019,0,
N?  2159867-A/2159867/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,Água Tratada,Torneira após caixa d'água,Açude Jaburu,TIANGUA,326306,"Rua 31 de Julho, n°508",UNBSI - TIANGUÁ,CCI Radiologia e Odontologia,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",1,0,0,ausência em 100 mL,0,14/02/2019,14/02/2019,0,
N?  2150475-A/2150475/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira de saída da ETA,Poços,CARNAUBAL,322242,Rua Major Felinto - RAP  PT01 + PT02,UNBSI - CARNAUBAL,UNBSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",1,0,0,ausência em 100 mL,0,02/01/2019,02/01/2019,0,
N?  2150707-A/2150707/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,IQAD,Torneira de entrada,"PT - 01, PT - 02",CARNAUBAL,230693,Av. São Vicente,UNBSI - CARNAUBAL,UNBSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",1,0,0,ausência em 100 mL,0,03/01/2019,03/01/2019,0,
N?  2164670-A/2164670/UN-BSI,UN-BSI,Água de bebedouro,Análise Bacteriológica,Saida do Bebedouro,Açude Jaburu,TIANGUA,319706,Loja de Atendimento - Cagece,UNBSI - TIANGUÁ,UNBSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",1,0,0,ausência em 100 mL,0,26/02/2019,26/02/2019,0,
N?  2177760-A/2177760/UN-BSI,UN-BSI,Água Bruta,Análise Bacteriológica,Saída do poço,Poço,SAO BENEDITO,326996,"Travessa Manoel Gomes da Silva, n° 1591/ Monsenhor Otalício",UNBSI - SAO BENEDITO,Pedro César Mourão Bezerra,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",1,0,3,"3,00 NMP/100 mL",10000000,12/03/2019,12/03/2019,0,
N?  2181214-A/2181214/UN-BSI,UN-BSI,Água Bruta,Análise Bacteriológica,Saída do poço,Poço,UBAJARA,327151,Entrada para Nova Veneza/ Sítio Tucuns,UNBSI - UBAJARA,Francisco das Chagas Barbosa da Silva,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",1,0,200,"2,0E2 NMP/100 mL",10000000,16/04/2019,16/04/2019,0,
N?  2164848-A/2164848/UN-BSI,UN-BSI,Água de bebedouro,Análise Bacteriológica,Saida do Bebedouro,Açude Jaburu,TIANGUA,320364,Bebedouro - ETA JABURU,UNBSI - TIANGUÁ,UNBSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",1,0,0,ausência em 100 mL,0,25/02/2019,25/02/2019,0,
N?  2163973-A/2163973/UN-BSI,UN-BSI,Água Bruta,Completa,Torneira de saída do poço,Poço,CARNAUBAL,265242,Rua Manoel Estógio- Várzea  - PT 03,UNBSI - CARNAUBAL,UNBSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",1,0,6,"6,00 NMP/100 mL",10000000,13/02/2019,13/02/2019,0,
N?  2176674-A/2176674/UN-BSI,UN-BSI,Água de bebedouro,Análise Bacteriológica,Saida do Bebedouro,Açude Jaburu,TIANGUA,319706,LOJA DE ATENDIMENTO - CAGECE,UNBSI - TIANGUÁ,UNBSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",1,0,0,ausência em 100 mL,0,27/03/2019,27/03/2019,0,
N?  2161381-A/2161381/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,IQAD,Torneira de entrada,"Açude Jaburu, PT - 03",CARNAUBAL,44201,CAGECE ¿ LOJA DE ATENDIMENTO,UNBSI - CARNAUBAL,UNBSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",1,0,0,ausência em 100 mL,0,04/02/2019,04/02/2019,0,
N?  2183774-A/2183774/UN-BSI,UN-BSI,Água de bebedouro,Análise Bacteriológica,Saida do Bebedouro,Açude Jaburu,TIANGUA,319706,Loja de Atendimento - Cagece,UNBSI - TIANGUÁ,UNBSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",1,0,0,ausência em 100 mL,0,26/04/2019,26/04/2019,0,
N?  2150479-A/2150479/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira de saída da ETA,Poço,CARNAUBAL,316712,R. Manoel Estárgio - SMS 17 - PT 03,UNBSI - CARNAUBAL,UNBSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",2,0,0,ausência em 100 mL,0,02/01/2019,02/01/2019,0,
N?  2163974-A/2163974/UN-BSI,UN-BSI,Água Bruta,Completa,Torneira de saída do poço,Poço,CARNAUBAL,232587,Poço - Rua Major Felinto PT 01 - Escritório CAGECE,UNBSI - CARNAUBAL,UNBSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",2,0,0,"< 1,0 NMP/100 mL",10000000,13/02/2019,13/02/2019,0,
N?  2183778-A/2183778/UN-BSI,UN-BSI,Água de bebedouro,Análise Bacteriológica,Saida do Bebedouro,Açude Jaburu,TIANGUA,320364,Bebedouro da ETA Jaburu,UNBSI - TIANGUÁ,UNBSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",2,0,0,ausência em 100 mL,0,16/04/2019,16/04/2019,0,
N?  2161385-A/2161385/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,IQAD,Torneira de entrada,Açude Jaburu,CARNAUBAL,44397,R.  SDO 17,UNBSI - CARNAUBAL,UNBSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",2,0,0,ausência em 100 mL,0,04/02/2019,04/02/2019,0,
N?  2164121-A/2164121/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira de saída da ETA,Poço,CARNAUBAL,316712,R. Manoel Estárgio - SMS 17 - PT 03,UNBSI - CARNAUBAL,UNBSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",2,0,0,ausência em 100 mL,0,04/02/2019,04/02/2019,0,
N?  2176670-A/2176670/UN-BSI,UN-BSI,Água de bebedouro,Análise Bacteriológica,Saida do Bebedouro,Açude Jaburu,TIANGUA,320364,Bebedouro ETA JABURU,UNBSI - TIANGUÁ,UNBSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",2,0,0,ausência em 100 mL,0,21/03/2019,21/03/2019,0,
N?  2150708-A/2150708/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,IQAD,Torneira de entrada,Açude Jaburu,CARNAUBAL,44408,ET. SITIO BURITI,UNBSI - CARNAUBAL,UN BSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",2,0,0,ausência em 100 mL,0,07/01/2019,07/01/2019,0,
N?  2154702-A/2154702/UN-BSI,UN-BSI,Água de bebedouro,Análise Bacteriológica,Saida do Bebedouro,Açude Jaburu,TIANGUA,320364,Bebedouro da ETA JABURU,UNBSI - TIANGUÁ,UNBSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",3,0,0,ausência em 100 mL,0,22/01/2019,22/01/2019,0,
N?  2161388-A/2161388/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,IQAD,Torneira de entrada,"PT - 01, PT - 02",CARNAUBAL,230684,"Rua Antônio Lindolfo Gomes, Nº142",UNBSI - CARNAUBAL,UNBSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",3,0,0,ausência em 100 mL,0,06/02/2019,06/02/2019,0,
N?  2163975-A/2163975/UN-BSI,UN-BSI,Água Bruta Classe 2,Completa,Torneira de saída do poço,Poço Tubular 02,CARNAUBAL,190084,"R. Manoel Estárgio - SMS 17 - Várzea
PT 02",UNBSI - CARNAUBAL,UNBSI - CARNAUBAL,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",3,0,0,"< 1,0 NMP/100 mL",1000000,13/02/2019,13/02/2019,0,
N?  2164122-A/2164122/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira de saída da ETA,Poços,CARNAUBAL,322242,Rua Major Felinto - RAP  PT01 + PT02,UNBSI - CARNAUBAL,UNBSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",3,0,0,ausência em 100 mL,0,06/02/2019,06/02/2019,0,
N?  2150753-A/2150753/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,IQAD,Torneira de entrada,Açude Jaburu,CARNAUBAL,230712,Cachoeira do Norte,UNBSI - CARNAUBAL,UNBSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",3,0,0,ausência em 100 mL,0,07/01/2019,07/01/2019,0,
N?  2153159-A/2153159/UN-BSI,UN-BSI,Água Bruta,Completa,Torneira de saída do poço,Poço,CARNAUBAL,265242,Rua Manoel Estógio- Várzea  - PT 03,UNBSI - CARNAUBAL,UNBSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",3,0,"4,1","4,10 NMP/100 mL",10000000,14/01/2019,14/01/2019,0,
N?  2150482-A/2150482/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira de saída da ETA,Poços,CARNAUBAL,322242,Rua Major Felinto - RAP  PT01 + PT02,UNBSI - CARNAUBAL,UNBSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",3,0,0,ausência em 100 mL,0,03/01/2019,03/01/2019,0,
N?  2153162-A/2153162/UN-BSI,UN-BSI,Água Bruta,Completa,Torneira de saída do poço,Poço,CARNAUBAL,232587,Poço - Rua Major Felinto PT 01 - Escritório CAGECE,UNBSI - CARNAUBAL,UNBSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",4,0,0,"< 1,0 NMP/100 mL",10000000,14/01/2019,14/01/2019,0,
N?  2150487-A/2150487/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira de saída da ETA,Poço,CARNAUBAL,316712,R. Manoel Estárgio - SMS 17 - PT 03,UNBSI - CARNAUBAL,UNBSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",4,0,0,ausência em 100 mL,0,03/01/2019,03/01/2019,0,
N?  2150755-A/2150755/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,IQAD,Torneira de entrada,"Açude Jaburu, PT - 03",CARNAUBAL,44413,R.  SDO. 30,UNBSI - CARNAUBAL,UNBSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",4,0,0,ausência em 100 mL,0,09/01/2019,09/01/2019,0,
N?  2164125-A/2164125/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira de saída da ETA,Poço,CARNAUBAL,316712,R. Manoel Estárgio - SMS 17 - PT 03,UNBSI - CARNAUBAL,UNBSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",4,0,0,ausência em 100 mL,0,06/02/2019,06/02/2019,0,
N?  2163970-A/2163970/UN-BSI,UN-BSI,Água Bruta,Completa,Torneira de saída do poço,PT - 03,CROATA,258362,Rua João Otaviano - PT03,UNBSI - CROATÁ,UN-BSI - CROATÁ,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",4,0,0,"< 1,0 NMP/100 mL",10000000,13/02/2019,13/02/2019,0,
N?  2161390-A/2161390/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,IQAD,Torneira de entrada,"PT - 01, PT - 02",CARNAUBAL,230683,"Rua Antônio Lindolfo Gomes, SMS08",UNBSI - CARNAUBAL,UNBSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",4,0,0,ausência em 100 mL,0,06/02/2019,06/02/2019,0,
N?  2153164-A/2153164/UN-BSI,UN-BSI,Água Bruta Classe 2,Completa,Torneira de saída do poço,Poço Tubular 02,CARNAUBAL,190084,R. Manoel Estárgio - SMS 17 - Várzea PT 02,UNBSI - CARNAUBAL,UNBSI - CARNAUBAL,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",5,0,0,"< 1,0 NMP/100 mL",1000000,14/01/2019,14/01/2019,0,
N?  2150756-A/2150756/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,IQAD,Torneira de entrada,"Açude Jaburu, PT - 03",CARNAUBAL,230708,"Rua Antônio Barroso, nº315",UNBSI - CARNAUBAL,UNBSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",5,0,0,ausência em 100 mL,0,14/01/2019,14/01/2019,0,
N?  2161391-A/2161391/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,IQAD,Torneira de entrada,Açude Jaburu,CARNAUBAL,44408,ET. SITIO BURITI,UNBSI - CARNAUBAL,UN BSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",5,0,0,ausência em 100 mL,0,11/02/2019,11/02/2019,0,
N?  2163971-A/2163971/UN-BSI,UN-BSI,Água Bruta,Completa,Torneira de saída do poço,PT - 01,CROATA,258363,Rua João Otaviano  - PT 01,UNBSI - CROATÁ,UN-BSI - CROATÁ,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",5,0,2,"2,00 NMP/100 mL",10000000,13/02/2019,13/02/2019,0,
N?  2150492-A/2150492/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira de saída da ETA,Poços,CARNAUBAL,322242,Rua Major Felinto - RAP  PT01 + PT02,UNBSI - CARNAUBAL,UNBSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",5,0,0,ausência em 100 mL,0,07/01/2019,07/01/2019,0,
N?  2164127-A/2164127/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira de saída da ETA,Poços,CARNAUBAL,322242,Rua Major Felinto - RAP  PT01 + PT02,UNBSI - CARNAUBAL,UNBSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",5,0,0,ausência em 100 mL,0,11/02/2019,11/02/2019,0,
N?  2152351-A/2152351/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,IQAD,Torneira de entrada,Açude Jaburu,CARNAUBAL,44384,R.  DEP. VICENTE RIBEIRO,UNBSI - CARNAUBAL,UNBSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",6,0,0,ausência em 100 mL,0,16/01/2019,16/01/2019,0,
N?  2163600-A/2163600/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,IQAD,Torneira de entrada,Açude Jaburu,CARNAUBAL,44174,ET. SÍTIO BURITI,UNBSI - CARNAUBAL,UN BSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",6,0,0,ausência em 100 mL,0,13/02/2019,13/02/2019,0,
N?  2163972-A/2163972/UN-BSI,UN-BSI,Água Bruta,Completa,Torneira de saída do poço,Poço Tubular 07,CROATA,251602,Sítio Canaã - PT 07,UNBSI - CROATÁ,UN-BSI - CROATÁ,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",6,0,1,"1,00 NMP/100 mL",10000000,13/02/2019,13/02/2019,0,
N?  2153174-A/2153174/UN-BSI,UN-BSI,Água Bruta,Completa,Torneira de saída do poço,Poço Tubular 07,CROATA,251602,Sítio Canaã PT 07,UNBSI - CROATÁ,UN-BSI - CROATÁ,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",6,0,"18,3","1,8E1 NMP/100 mL",10000000,14/01/2019,14/01/2019,0,
N?  2164131-A/2164131/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira de saída da ETA,Poço,CARNAUBAL,316712,R. Manoel Estárgio - SMS 17 - PT 03,UNBSI - CARNAUBAL,UNBSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",6,0,0,ausência em 100 mL,0,11/02/2019,11/02/2019,0,
N?  2150501-A/2150501/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira de saída da ETA,Poço,CARNAUBAL,316712,R. Manoel Estárgio - SMS 17 - PT 03,UNBSI - CARNAUBAL,UNBSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",6,0,0,ausência em 100 mL,0,07/01/2019,07/01/2019,0,
N?  2164133-A/2164133/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira de saída da ETA,Poços,CARNAUBAL,322242,Rua Major Felinto - RAP  PT01 + PT02,UNBSI - CARNAUBAL,UNBSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",7,0,0,ausência em 100 mL,0,13/02/2019,13/02/2019,0,
N?  2163967-A/2163967/UN-BSI,UN-BSI,Água Bruta,Completa,Torneira de saída do poço,Poço,FAVEIRA,232588,Reservatório Faveira - Água Bruta,UNBSI - FAVEIRA,UNBSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",7,0,0,"< 1,0 NMP/100 mL",10000000,13/02/2019,13/02/2019,0,
N?  2153178-A/2153178/UN-BSI,UN-BSI,Água Bruta,Completa,Torneira de saída do poço,PT - 01,CROATA,258363,Rua João Otaviano PT 01,UNBSI - CROATÁ,UN-BSI - CROATÁ,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",7,0,"435,2","4,4E2 NMP/100 mL",10000000,14/01/2019,14/01/2019,0,
N?  2163612-A/2163612/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,IQAD,Torneira de entrada,"Açude Jaburu, PT - 03",CARNAUBAL,44199,AV. PAULO SARASATE,UNBSI - CARNAUBAL,UN BSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",7,0,0,ausência em 100 mL,0,18/02/2019,18/02/2019,0,
N?  2152352-A/2152352/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,IQAD,Torneira de entrada,"Açude Jaburu, PT - 03",CARNAUBAL,44175,ET. PARA SÃO LUIZ,UNBSI - CARNAUBAL,UNBSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",7,0,0,ausência em 100 mL,0,16/01/2019,16/01/2019,0,
N?  2150506-A/2150506/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira de saída da ETA,Poços,CARNAUBAL,322242,Rua Major Felinto - RAP  PT01 + PT02,UNBSI - CARNAUBAL,UNBSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",7,0,0,ausência em 100 mL,0,09/01/2019,09/01/2019,0,
N?  2164136-A/2164136/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira de saída da ETA,Poço,CARNAUBAL,316712,R. Manoel Estárgio - SMS 17 - PT 03,UNBSI - CARNAUBAL,UNBSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",8,0,0,ausência em 100 mL,0,13/02/2019,13/02/2019,0,
N?  2153184-A/2153184/UN-BSI,UN-BSI,Água Bruta,Completa,Torneira de saída do poço,PT - 03,CROATA,258362,Rua João Otaviano PT 03,UNBSI - CROATÁ,UN-BSI - CROATÁ,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",8,0,"387,3","3,9E2 NMP/100 mL",10000000,14/01/2019,14/01/2019,0,
N?  2152353-A/2152353/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,IQAD,Torneira de entrada,"Açude Jaburu, PT - 03",CARNAUBAL,44000,"Rua SImplício Damasceno, Nº 143",UNBSI - CARNAUBAL,UNBSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",8,0,0,ausência em 100 mL,0,21/01/2019,21/01/2019,0,
N?  2163613-A/2163613/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,IQAD,Torneira de entrada,"PT - 01, PT - 02",CARNAUBAL,230687,Av. São Vicente,UNBSI - CARNAUBAL,UNBSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",8,0,0,ausência em 100 mL,0,18/02/2019,18/02/2019,0,
N?  2150512-A/2150512/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira de saída da ETA,Poço,CARNAUBAL,316712,R. Manoel Estárgio - SMS 17 - PT 03,UNBSI - CARNAUBAL,UNBSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",8,0,0,ausência em 100 mL,0,09/01/2019,09/01/2019,0,
N?  2163969-A/2163969/UN-BSI,UN-BSI,Água Bruta,Completa,Torneira de saída do poço,Poço,GUARACIABA DO NORTE,292662,"Rua Prefeito Meton Silvano, Bairro Santa Luzia",UNBSI - GUARACIABA DO NORTE,UNBSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",9,0,0,"< 1,0 NMP/100 mL",10000000,13/02/2019,13/02/2019,0,
N?  2153195-A/2153195/UN-BSI,UN-BSI,Água Bruta,Completa,Torneira de saída do poço,Poço,FAVEIRA,48982,RESERVATÓRIO FAVEIRA,UNBSI - FAVEIRA,UNBSI - FAVEIRA,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",9,0,0,"< 1,0 NMP/100 mL",10000000,14/01/2019,14/01/2019,0,
N?  2150517-A/2150517/UN-BSI,UN-BSI,Água Tratada Saída Sistema,IQAP,Torneira de saída da ETA,Poços,CARNAUBAL,322242,Rua Major Felinto - RAP  PT01 + PT02,UNBSI - CARNAUBAL,UNBSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",9,0,0,ausência em 100 mL,0,14/01/2019,14/01/2019,0,
N?  2152354-A/2152354/UN-BSI,UN-BSI,Água Tratada Rede de Distribuição,IQAD,Torneira de entrada,"Açude Jaburu, PT - 03",CARNAUBAL,44005,RUA ANTONIO PINTO DE MELO S/N,UNBSI - CARNAUBAL,UN BSI,Coliformes Totais,"9223, SMEWW 22nd Ed., 2012",9,0,0,ausência em 100 mL,0,21/01/2019,21/01/2019,0,
